Image_ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
100,B,C,B,B,B,B,B,C,B,C,A,B,B,B,B,B,B,B,A,C,B,C,C,B,B,B,B,B,A,C
101,A,A,A,A,A,A,B,B,D,A,A,B,A,A,C,A,A,A,A,A,A,B,A,A,A,C,A,A,A,B
102,B,B,C,C,C,C,C,A,B,D,B,A,C,A,B,B,B,C,B,B,B,B,C,A,C,B,B,C,C,B
103,B,B,B,A,C,B,C,C,B,B,A,B,C,B,B,B,B,B,A,C,B,B,C,B,C,B,C,B,B,B
104,C,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,A,B,A,A
105,C,C,C,C,B,B,C,D,B,C,B,B,A,C,B,B,B,B,A,A,C,D,D,B,B,C,D,A,A,D
106,B,C,B,B,B,B,B,B,B,C,A,B,C,A,B,B,B,B,D,A,D,C,C,B,B,B,B,B,A,C
107,A,A,A,A,A,A,B,B,B,A,A,B,A,A,C,A,A,A,A,A,A,B,B,B,B,C,A,A,A,A
108,B,B,B,A,C,B,B,B,B,B,A,D,D,D,B,C,B,B,A,A,B,B,B,A,C,B,D,C,B,B
109,A,B,A,A,B,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,MULTI,B,B,B,C,B,B,B,A,A
110,B,C,C,B,C,C,B,B,B,D,B,C,C,C,A,B,B,B,C,B,B,B,B,C,C,D,C,B,A,A
111,A,B,C,B,B,B,B,B,A,B,B,C,B,B,B,B,B,C,B,C,B,B,B,A,C,B,C,C,B,B
112,A,A,A,A,A,A,B,B,B,A,A,B,A,A,C,A,A,A,A,A,A,B,B,D,B,C,A,A,A,B
113,C,C,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,B,A,A,C,B,C,B,B,C,B,A,A,B
114,A,B,C,B,B,B,B,B,A,C,B,C,B,B,B,B,B,C,B,C,B,B,B,A,C,B,C,C,B,B
115,B,C,C,B,C,C,B,B,B,D,B,C,C,C,A,B,B,B,C,B,B,B,B,C,C,D,C,B,A,A
116,A,B,C,B,B,B,B,B,A,C,C,C,B,B,B,B,B,C,B,C,B,B,B,A,C,B,C,C,B,B
117,D,C,C,C,B,C,C,B,B,A,A,B,B,B,B,A,B,B,B,C,C,C,B,A,C,C,B,C,B,B
118,B,C,C,B,B,B,B,B,C,C,C,C,A,C,B,B,A,B,C,A,B,B,B,C,A,B,C,B,C,C
119,B,C,B,C,A,A,B,C,B,B,A,C,B,C,D,B,C,C,A,D,A,D,C,D,D,A,C,C,C,B
120,B,B,C,C,C,C,C,C,B,D,B,A,B,A,B,B,B,C,B,B,B,B,C,A,C,B,B,C,C,B
121,B,C,B,B,B,B,B,C,D,C,B,B,C,A,B,B,B,B,A,A,B,C,C,B,B,B,B,B,A,C
122,A,A,B,A,A,A,B,B,B,A,B,B,B,A,C,B,A,A,A,A,A,B,B,B,A,B,A,D,A,B
123,B,C,C,B,C,C,B,B,D,D,B,C,C,C,A,B,B,C,C,B,B,B,B,C,C,D,C,B,D,A
124,B,C,B,B,B,B,B,C,B,C,A,B,C,B,B,B,B,B,A,C,C,C,C,B,B,B,B,B,A,C
125,C,B,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,B,A,A,C,B,C,B,B,B,B,C,A,C
126,B,B,B,A,C,B,C,C,B,B,A,B,C,B,B,B,B,B,A,A,B,B,C,A,B,C,B,B,B,B
127,B,B,C,C,C,B,C,C,D,D,B,A,C,A,B,B,B,A,B,B,B,B,C,A,C,B,B,C,C,B
128,C,B,C,B,B,B,B,B,D,B,C,B,C,C,B,B,A,B,C,B,B,B,B,B,A,B,B,B,A,C
129,A,A,A,A,A,A,A,B,B,B,A,C,B,A,C,C,A,A,B,A,A,A,B,B,B,B,A,A,A,A
130,B,B,C,C,C,C,C,D,B,D,B,A,B,A,B,B,B,C,B,B,B,B,C,A,C,B,B,B,C,B
131,B,C,B,B,B,B,B,C,B,C,A,C,C,A,B,B,B,B,A,A,B,C,C,B,B,B,B,B,A,B
132,B,C,A,D,B,C,B,A,B,D,B,B,C,C,A,B,B,C,C,B,D,B,B,B,C,D,D,B,B,A
133,C,B,C,B,B,B,B,B,A,B,C,C,C,C,B,B,A,D,C,B,B,B,B,B,A,B,B,B,A,C
134,C,A,B,A,A,A,B,A,A,A,B,A,A,C,C,A,A,A,A,B,B,B,A,A,A,C,A,A,A,A
135,B,C,C,B,C,C,B,B,B,D,B,C,C,C,A,B,B,B,C,B,D,B,B,C,C,D,C,B,A,A
136,B,C,B,B,B,B,B,D,B,C,C,C,A,A,B,B,B,B,A,B,B,C,C,B,B,B,B,B,A,C
137,D,B,D,B,A,C,C,B,B,C,B,B,B,B,B,A,D,B,A,B,C,A,A,C,B,A,C,B,B,B
138,A,B,C,A,B,B,B,B,A,B,B,B,B,B,B,B,B,C,B,C,B,B,B,A,B,B,C,C,A,D
139,B,B,C,C,C,C,C,C,D,A,B,A,B,B,B,B,B,C,B,B,B,B,C,A,B,B,B,C,C,B
140,B,B,B,A,C,D,C,C,B,B,A,B,C,B,B,B,B,B,A,A,B,B,C,A,C,B,C,B,B,B
141,A,B,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,B,A,A,C,B,C,B,B,BLANK,B,C,A,C
142,A,B,C,B,B,B,B,B,A,C,B,C,B,B,B,B,B,C,B,C,B,B,B,A,C,B,C,C,B,B
143,C,C,B,B,A,A,B,B,D,B,B,C,A,C,C,B,A,B,B,B,A,B,C,D,C,B,A,B,C,D
144,C,C,C,D,D,C,B,C,A,C,B,B,B,C,B,B,B,A,A,A,C,B,C,B,B,C,B,A,A,B
145,B,B,B,A,C,C,C,C,B,B,A,D,C,A,B,B,B,B,C,C,B,D,C,B,C,D,C,B,B,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
